Zach Johnson,*Sony Open in Hawaii,1,69,65,66,65,972000
Adam Scott,*Sony Open in Hawaii,2,71,66,66,64,475200
David Toms,*Sony Open in Hawaii,2,70,66,65,66,475200
Charles Howell III,*Sony Open in Hawaii,4,67,68,67,66,259200
Kevin Na,*Sony Open in Hawaii,5,72,65,66,66,205200
Brian Gay,*Sony Open in Hawaii,5,66,67,68,68,205200
Steve Marino,*Sony Open in Hawaii,7,68,67,70,66,174150
George McNeill,*Sony Open in Hawaii,7,69,68,65,69,174150
Webb Simpson,*Sony Open in Hawaii,9,66,68,70,68,145800
Bill Haas,*Sony Open in Hawaii,9,68,71,65,68,145800
Boo Weekley,*Sony Open in Hawaii,9,66,69,67,70,145800
Tim Clark,*Sony Open in Hawaii,12,71,70,68,64,87971
Marc Leishman,*Sony Open in Hawaii,12,72,66,70,65,87971
Rory Sabbatini,*Sony Open in Hawaii,12,68,70,70,65,87971
Scott Piercy,*Sony Open in Hawaii,12,67,72,69,65,87971
K.J. Choi,*Sony Open in Hawaii,12,68,69,70,66,87971
Tim Herron,*Sony Open in Hawaii,12,68,71,68,66,87971
Bob Estes,*Sony Open in Hawaii,12,72,67,68,66,87971
Sean O'Hair,*Sony Open in Hawaii,12,71,68,66,68,87971
Jeff Klauk,*Sony Open in Hawaii,12,69,69,66,69,87971
Nathan Green,*Sony Open in Hawaii,12,66,66,69,72,87971
Shigeki Maruyama,*Sony Open in Hawaii,12,65,68,68,72,87971
Jerry Kelly,*Sony Open in Hawaii,23,67,72,69,66,43380
Cliff Kresge,*Sony Open in Hawaii,23,69,69,69,67,43380
Troy Matteson,*Sony Open in Hawaii,23,71,67,69,67,43380
Ryuji Imada,*Sony Open in Hawaii,23,71,70,66,67,43380
Chez Reavie,*Sony Open in Hawaii,23,70,70,66,68,43380
Briny Baird,*Sony Open in Hawaii,23,69,67,69,69,43380
Luke Donald,*Sony Open in Hawaii,23,67,70,68,69,43380
Cameron Beckman,*Sony Open in Hawaii,23,72,66,67,69,43380
Steve Stricker,*Sony Open in Hawaii,23,70,68,67,69,43380
Bart Bryant,*Sony Open in Hawaii,32,71,69,71,64,29237
Stewart Cink,*Sony Open in Hawaii,32,71,65,72,67,29237
Greg Owen,*Sony Open in Hawaii,32,71,67,70,67,29237
Jimmy Walker,*Sony Open in Hawaii,32,73,66,68,68,29237
D.J. Trahan,*Sony Open in Hawaii,32,71,67,66,71,29237
Geoff Ogilvy,*Sony Open in Hawaii,32,66,69,68,72,29237
Tadd Fujikawa,*Sony Open in Hawaii,32,71,69,62,73,29237
Scott Sterling,*Sony Open in Hawaii,39,71,69,71,65,21600
Hideto Tanihara,*Sony Open in Hawaii,39,72,65,73,66,21600
Arron Oberholser,*Sony Open in Hawaii,39,68,73,69,66,21600
Ernie Els,*Sony Open in Hawaii,39,72,69,68,67,21600
Michael Letzig,*Sony Open in Hawaii,39,69,70,69,68,21600
Brendon Todd,*Sony Open in Hawaii,39,69,71,66,70,21600
Azuma Yano,*Sony Open in Hawaii,45,71,70,70,66,15444
Michael Allen,*Sony Open in Hawaii,45,72,68,70,67,15444
Glen Day,*Sony Open in Hawaii,45,70,68,72,67,15444
Chris Stroud,*Sony Open in Hawaii,45,67,70,71,69,15444
Wil Collins,*Sony Open in Hawaii,45,69,67,69,72,15444
Brian Davis,*Sony Open in Hawaii,45,69,68,68,72,15444
Alex Cejka,*Sony Open in Hawaii,51,72,69,70,67,12879
Ted Purdy,*Sony Open in Hawaii,51,69,69,70,70,12879
Tim Wilkinson,*Sony Open in Hawaii,51,68,70,68,72,12879
Harrison Frazar,*Sony Open in Hawaii,51,69,70,66,73,12879
Steve Lowery,*Sony Open in Hawaii,55,71,68,70,70,12258
Casey Wittenberg,*Sony Open in Hawaii,55,71,70,68,70,12258
Tommy Gainey,*Sony Open in Hawaii,55,71,70,66,72,12258
Kevin Streelman,*Sony Open in Hawaii,55,70,69,67,73,12258
Joe Durant,*Sony Open in Hawaii,59,73,68,70,69,11718
Richard S. Johnson,*Sony Open in Hawaii,59,70,71,69,70,11718
Matt Bettencourt,*Sony Open in Hawaii,59,73,68,69,70,11718
David Mathis,*Sony Open in Hawaii,59,68,68,71,73,11718
Tom Pernice Jr.,*Sony Open in Hawaii,59,69,63,75,73,11718
Kenny Perry,*Sony Open in Hawaii,59,69,69,68,74,11718
Troy Kelly,*Sony Open in Hawaii,65,71,66,75,70,11178
Arjun Atwal,*Sony Open in Hawaii,65,69,71,72,70,11178
John Merrick,*Sony Open in Hawaii,65,70,70,72,70,11178
Jarrod Lyle,*Sony Open in Hawaii,65,70,69,70,73,11178
Andres Romero,*Sony Open in Hawaii,69,73,68,71,71,10800
Paul Azinger,*Sony Open in Hawaii,69,68,73,71,71,10800
Jeff Overton,*Sony Open in Hawaii,69,71,69,71,72,10800
Spencer Levin,*Sony Open in Hawaii,72,71,69,70,74,10584
Jeff Quinney,*Sony Open in Hawaii,73,71,70,72,72,10368
