*Mercedes Championships,,,,,,
Phil Mickelson,-,67,68,68,271,"$306,000 "
Mark O'Meara,-,70,67,64,272,"$149,600 "
Tiger Woods,-,67,69,64,272,"$149,600 "
John Cook,-,70,70,70,275,"$74,800 "
Nick Price,-,70,69,70,275,"$74,800 "
Mark Calcavecchia,-,74,66,67,277,"$55,463 "
Stewart Cink,-,67,71,68,277,"$55,463 "
David Duval,-,70,66,73,277,"$55,463 "
Gabriel Hjertstedt,-,68,69,71,277,"$55,463 "
Ernie Els,-,71,71,69,278,"$46,538 "
Frank Nobilo,-,69,70,72,278,"$46,538 "
Scott McCarron,-,71,70,68,279,"$43,775 "
Steve Jones,-,71,72,68,280,"$38,675 "
Davis Love III,-,72,67,71,280,"$38,675 "
Loren Roberts,-,72,68,70,280,"$38,675 "
Vijay Singh,-,72,67,66,280,"$38,675 "
Paul Stankowski,-,72,69,70,280,"$38,675 "
David Frost,-,72,68,68,282,"$34,000 "
Steve Elkington,-,73,71,68,284,"$31,450 "
Scott Hoch,-,70,69,75,284,"$31,450 "
Jeff Sluman,-,75,71,68,284,"$31,450 "
Nick Faldo,-,75,70,69,285,"$28,475 "
Brad Faxon,-,72,70,71,285,"$28,475 "
David Toms,-,75,70,67,285,"$28,475 "
Phil Blackmar,-,69,73,71,286,"$26,563 "
Justin Leonard,-,73,69,71,286,"$26,563 "
Greg Norman,-,72,73,70,288,"$25,925 "
Billy Ray Brown,-,74,71,75,289,"$25,585 "
Tim Herron,-,75,68,73,290,"$25,245 "
Stuart Appleby,-,72,73,72,294,"$24,905 "
*Phoenix Open,,,,,,
Jesper Parnevik,-,68,66,67,269,"$450,000 "
Tommy Armour III,-,70,70,64,272,"$165,000 "
Brent Geiberger,-,70,72,66,272,"$165,000 "
Steve Pate,-,69,70,64,272,"$165,000 "
Tom Watson,-,70,68,66,272,"$165,000 "
Billy Andrade,-,67,67,67,270,"$86,875 "
Glen Day,-,70,69,67,274,"$86,875 "
Dudley Hart,-,68,69,68,275,"$70,000 "
John Huston,-,67,68,67,275,"$70,000 "
Frank Lickliter II,-,67,66,70,275,"$70,000 "
Scott McCarron,-,70,70,68,275,"$70,000 "
John Daly,-,70,66,71,277,"$55,000 "
Paul Stankowski,-,67,67,73,277,"$55,000 "
Nolan Henke,-,71,69,69,278,"$38,750 "
Mike Hulbert,-,72,73,70,278,"$38,750 "
Lee Janzen,-,68,67,72,278,"$38,750 "
Skip Kendall,-,67,67,71,278,"$38,750 "
Tom Lehman,-,68,72,67,278,"$38,750 "
Frank Nobilo,-,69,71,69,278,"$38,750 "
Larry Rinker,-,72,71,70,278,"$38,750 "
Scott Verplank,-,63,66,76,278,"$38,750 "
Olin Browne,-,68,73,68,279,"$24,000 "
Nick Price,-,72,68,72,279,"$24,000 "
Vijay Singh,-,65,71,74,279,"$24,000 "
Steve Stricker,-,71,73,71,279,"$24,000 "
David Sutherland,-,68,70,69,279,"$24,000 "
Jay Don Blake,-,69,70,71,280,"$17,000 "
Robert Damron,-,71,71,67,280,"$17,000 "
David Duval,-,70,72,73,280,"$17,000 "
Kelly Gibson,-,66,76,71,280,"$17,000 "
Paul Goydos,-,71,70,68,280,"$17,000 "
Justin Leonard,-,71,70,72,280,"$17,000 "
Kenny Perry,-,70,72,68,280,"$12,375 "
Rick Fehr,-,71,74,69,281,"$12,357 "
Fred Funk,-,70,68,71,281,"$12,357 "
Steve Jones,-,69,71,76,281,"$12,357 "
Larry Mize,-,68,69,75,281,"$12,357 "
Chris Perry,-,72,72,68,281,"$12,357 "
Chris Smith,-,69,68,72,281,"$12,357 "
David Toms,-,67,69,73,281,"$12,357 "
Mark Carnevale,-,70,72,71,282,"$9,000 "
Russ Cochran,-,70,70,70,282,"$9,000 "
Jim Furyk,-,68,71,71,282,"$9,000 "
Jonathan Kaye,-,67,73,70,282,"$9,000 "
Billy Mayfair,-,68,72,70,282,"$9,000 "
Duffy Waldorf,-,70,69,75,282,"$9,000 "
Mark Brooks,-,70,69,73,283,"$6,725 "
Tom Byrum,-,71,69,72,283,"$6,725 "
Chris DiMarco,-,69,72,70,283,"$6,725 "
Rocco Mediate,-,72,69,72,283,"$6,725 "
Bob Estes,-,69,72,70,284,"$5,963 "
Dan Forsman,-,73,72,71,284,"$5,963 "
Scott Simpson,-,70,74,70,284,"$5,963 "
Kevin Sutherland,-,67,74,72,284,"$5,963 "
Jeff Maggert,-,71,71,74,285,"$5,700 "
Len Mattiace,-,71,73,71,285,"$5,700 "
Doug Martin,-,72,74,71,289,"$5,700 "
Doug Barron,-,70,76,73,286,"$5,475 "
Phil Blackmar,-,69,72,74,286,"$5,475 "
Brandel Chamblee,-,72,70,75,286,"$5,475 "
Donnie Hammond,-,70,74,70,286,"$5,475 "
Andrew Magee,-,71,75,70,286,"$5,475 "
Phil Mickelson,-,71,72,75,286,"$5,475 "
David Edwards,-,73,73,73,287,"$5,275 "
Mike Springer,-,73,69,76,287,"$5,275 "
Don Pooley,-,71,72,77,288,"$5,200 "
Steve Flesch,-,73,77,71,289,"$5,125 "
David Ogrin,-,72,72,75,289,"$5,125 "
Stuart Appleby,-,69,75,73,290,"$5,025 "
Lee Rinker,-,73,74,74,290,"$5,025 "
Ted Tryba,-,69,75,77,292,"$4,950 "
Wayne Levi,-,68,77,75,294,"$4,900 "
Steve Lowery,-,70,69,WD,209,-
Paul Azinger,-,71,MC,MC,143,-
Mark Calcavecchia,-,67,MC,MC,143,-
