*Mercedes Championships,73,,,,,,,,
1,Stuart Appleby,74,64,66,67,-6,-21,271,1060000
2,Jonathan Kaye,68,67,66,71,-2,-20,272,600000
T3,Tiger Woods,68,68,69,68,-5,-19,273,350000
T3,Ernie Els,69,65,68,71,-2,-19,273,350000
T5,Adam Scott,69,72,68,65,-8,-18,274,211333
T5,Stewart Cink,68,68,67,71,-2,-18,274,211333
T5,Vijay Singh,66,65,69,74,1,-18,274,211333
T8,David Toms,71,67,70,68,-5,-16,276,165000
T8,Vaughn Taylor,69,69,68,70,-3,-16,276,165000
T10,Sergio Garcia,68,67,73,70,-3,-14,278,145000
T10,Craig Parry,67,72,68,71,-2,-14,278,145000
12,Woody Austin,69,72,68,70,-3,-13,279,130000
T13,Jonathan Byrd,72,70,71,67,-6,-12,280,110000
T13,Retief Goosen,71,67,69,73,E,-12,280,110000
T13,Mike Weir,70,63,71,76,3,-12,280,110000
16,Bart Bryant,69,72,69,71,-2,-11,281,91000
T17,John Daly,70,69,70,73,E,-10,282,88000
T17,Chad Campbell,69,67,71,75,2,-10,282,88000
T19,Stephen Ames,73,72,67,71,-2,-9,283,83000
T19,Rod Pampling,70,72,69,72,-1,-9,283,83000
T19,Mark Hensby,70,73,71,69,-4,-9,283,83000
22,Andre Stolz,73,71,71,70,-3,-7,285,79000
T23,Joey Sindelar,71,68,71,76,3,-6,286,75000
T23,Heath Slocum,69,70,72,75,2,-6,286,75000
T23,Zach Johnson,72,70,71,73,E,-6,286,75000
T26,Ryan Palmer,76,68,71,72,-1,-5,287,70000
T26,Todd Hamilton,72,72,72,71,-2,-5,287,70000
28,Brent Geiberger,72,73,71,72,-1,-4,288,68000
29,Steve Flesch,69,73,72,75,2,-3,289,67000
30,Fred Funk,74,74,67,75,2,-2,290,66000
31,Carlos Franco,74,71,72,75,2,E,292,65000
*Sony Open in Hawaii,70,,,,,,,,
1,Vijay Singh,69,68,67,65,-5,-11,269,864000
2,Ernie Els,71,67,70,62,-8,-10,270,518400
T3,Charles Howell III,70,70,64,67,-3,-9,271,278400
T3,Shigeki Maruyama,67,65,68,71,1,-9,271,278400
T5,Stewart Cink,66,69,72,65,-5,-8,272,182400
T5,Brett Quigley,66,67,68,71,1,-8,272,182400
T7,Tommy Armour III,69,71,67,66,-4,-7,273,154800
T7,Andrew Magee,67,68,71,67,-3,-7,273,154800
T9,Craig Stadler,71,69,67,67,-3,-6,274,124800
T9,Tom Lehman,67,68,70,69,-1,-6,274,124800
T9,Bart Bryant,70,69,66,69,-1,-6,274,124800
T9,Robert Gamez,69,66,68,71,1,-6,274,124800
T13,David Toms,71,68,68,68,-2,-5,275,90000
T13,Jeff Maggert,70,68,68,69,-1,-5,275,90000
T13,Shaun Micheel,70,68,68,69,-1,-5,275,90000
T13,Luke Donald,74,67,65,69,-1,-5,275,90000
