Tripp Isenhour,-9.088022861393554,-4.744511411011871,-0.859568386340996,-2.250872734167089,-1.9394692253951575,1.422372879868007,1.6872225039281545,0.07293678964244066,-4.101936563954325,-0.0806599682096305,-4.615456067500418,3.1657939324995823,-5.941929644736192,-2.3565637910776474,-0.7248310675004177,-4.474831067500418,1.8837426504482977,4.922204188909845,-2.5578902780267327,0.11974130092063717,1.9293074460130981,-0.949070932365288,4.915793932499582,-2.0908727341670783,-2.4460481727635823,-3.0447323832898974,-0.6390005880483614,-2.8444800401031642,-2.1272524251163105,-1.1272524251163105,1.1418213297598498,1.1692185900338359,-0.39589437918873216,0.5976121143177693,3.386808425253207,4.169417120905379,-0.9698269825330925,-0.4469511655396303,4.865793932499585,6.532460599166242,-4.460829444123789,2.565144581850234,7.703672720378364,2.7945818112874576,1.5439990607047065,0.8516913683970131,0.3631623535522124,1.4947413009206372,-1.224728943317416,0.06285275602898821,0.6723728798680071,-1.3802586990793628,6.482460599166245,3.3324605991662537,0.5661207298851991,2.8144867429571008,-1.8894008726952194,1.5456640623697098,-3.1087962314348374,5.809236555450397,1.1885212052268486,-5.68160866490301,-3.9842060675004234,-0.7508727341670891,4.580079646785293,0.22293678964244634,2.5872225039281602,-3.2056346389289843,-3.5394299480974354,2.281465574290621,1.9729367896424463,1.758651075356724,-0.3080866645153435,-5.994653828694453,2.7383745776608777,-0.18098026104880205,-0.09268064377160101,0.958166813855513,-0.19437555902584336,-2.0587823386868536,
Kevin Gessino-Kraft,-1.0248148120950162,-9.681303361713333,-2.796360337042458,-4.187664684868551,-0.8762611760966195,-1.5144190708334548,4.750430553226693,-2.8638551610590213,-2.038728514655787,-4.017451918911092,0.44775198179812037,-0.7709980182018796,3.1212784045623465,-1.2933557417791093,-2.0530493002531642,0.985412238208383,3.3956686484647918,-1.8265535737574368,0.5053177712718053,0.18294935021917524,-1.366159308524459,-6.804868985943813,2.069911072707214,0.9335474363435736,-0.02099801820187963,-1.0276646848685402,-3.4709980182018825,4.2790019817981175,0.6171598765349557,7.018475666008641,-3.0640443758177724,1.9359556241822276,-0.3326863298901941,-0.33917983638369265,0.4500164745517452,-0.7673748297960827,-6.02422382465349,-2.843578663363175,3.3381569113755916,5.845199164896712,0.09338106676544555,1.6162568837589077,0.6023786051747493,-0.37164736885122807,-0.39279288999675543,-3.085100582304449,2.5237781012011027,0.43422586239513805,0.7306148850239254,2.0596471430884407,-1.5736295971492495,0.5579493502191752,-3.161520894018878,-2.8739391946724737,-0.565774137604862,0.38944974299215573,10.735580929166545,3.6829493502191752,-1.3706712208162628,-2.122305207744361,-2.1376646848685397,-2.554331351535211,0.17380717660331868,5.608872111668248,-3.7482707454746134,0.3815993843955283,1.0790019817981147,-2.687664684868551,3.0790019817981147,-1.5347911216501586,-0.3567123039161686,1.2861448389409844,3.6504305532266983,2.857573410369554,-1.9638551610590156,0.821859124655262,4.9032444060405425,4.539608042404183,-0.24487861521680543,0.068554220604085,
Parker McLachlin,-6.206372069147918,-5.862860618766234,0.022082405904640723,-2.3692219419214524,2.7048521321526238,0.6678150951155857,-2.5914441641436667,5.408555835856333,-1.0578184331495208,0.3040236721136438,1.5688732961737912,-3.0454124181119226,3.7797142282913114,-4.199009175963994,1.9397211475094451,3.5250870011679893,-0.2346065573060656,-0.1961450188445184,-1.7858886085881096,-0.008110830810338143,-0.676239485781096,-1.9986079068337261,3.810958238258735,-0.06742014011965125,-2.5477165655773604,-4.986426242996714,-1.1116461843456875,-0.24800982070932776,-0.202555275254781,-0.2092219419214416,4.347444724745216,-1.9025552752547839,0.7543983671293262,-4.245601632870674,-0.9765278779945135,-3.9491306177205274,-3.5142435869430955,-0.520737093436594,-1.7315407825011562,-0.9489320868489841,1.794218918293609,-2.0251359204160764,-1.8434003456773098,3.663641907843811,1.9118238097125442,-1.5653003732939936,-2.252555275254778,2.414111391411879,6.420821348121848,-0.5532046259041294,-2.450942372028976,0.8780898860355393,0.5312109585114513,-0.2739838466833504,1.244813145797849,-0.6236079068337261,3.6569218489282207,-4.055496451725375,3.554023672113644,0.5013920931662739,0.4477715221308358,0.6961375352027375,0.9922499195504173,-0.5726851453846535,0.7728545608107993,-4.309112652303966,-0.9298280025275147,-2.799957872657373,-2.1025552752547867,2.1307780580785476,0.8974447247452133,3.28365162129694,-0.53826956096907,3.104587581888083,1.468873296173797,3.6760161533166524,2.854587581888083,1.6403018676023606,-3.426435872269707,1.8869969635511836,-1.3799746300934856,-4.299329468803165,4.788970148474036,1.8398176061011497,4.687275233219793,2.822868453558783,
Brenden Pappas,-5.266340017803884,-5.922828567422201,-4.037885542751326,0.570810109422581,-2.280253720364655,-0.25897712461996036,6.206226776089252,7.987476776089252,1.2637925655629374,0.9414241445103073,-3.607684514233327,-6.046394191652681,-0.17161413300165407,-2.3079777693652943,1.7374767760892524,8.730810109422592,-4.624365329173912,-3.2230495397002272,-4.817317744458691,-1.022797196513494,-3.3055695815266404,-0.3055695815266404,2.96350417334952,2.990901433623506,-2.574211535599062,-3.5807050420925606,-2.7915087311571227,2.9910999644950493,4.851855861056578,4.37473167805004,0.36085339946588135,1.386827425439904,-2.5109103206849426,-1.1818780626204273,-0.5287569901445153,-1.333951795339317,0.18484519714188252,0.3164241445103073,-4.403046099727746,-2.1154644003813416,-3.80729934331373,2.147924537283288,1.4940557234576772,-4.558575855489693,1.3041434427559153,-0.8458565572440762,-5.612196426525131,-0.3638304134532291,4.620810109422592,1.204143442755921,2.0102040488165187,0.1400741786866604,-2.1625232239107532,6.223683672640973,-4.5982375096250365,2.0446196332321165,-1.5281482239107476,-0.15314822391074756,4.40890534751783,2.616048204660686,-0.20538036676788352,-0.4196660810536059,1.6617192003316745,1.2980828366953148,-1.4864038209256734,-0.17297098510478293,-0.4399425787494522,7.640702582540868,-1.2709978001819309,0.7798496574451832,7.627307284563827,0.7629005049028166,
Jason Allred,-0.992812405914492,-1.6493009555328086,-4.764357930861934,-5.155662278688027,-3.006726108475263,1.0145504872694318,0.47975438797864456,-1.7389956120213554,-0.021046894072640043,1.0174146443889072,2.427671054645316,-1.7945511675769126,3.5373201774523295,-0.7850482436003006,-0.3341569023439348,-6.7728665797632885,0.10191347888773805,-3.034450157475902,2.0110043879786446,2.004337721311984,-1.35083771728452,1.050478072189165,0.4562098674307009,5.250730415375898,5.967958030362752,-3.0320419696372483,2.1253834729459697,0.6482592899394319,2.6392095161837688,1.9469018238760754,2.7626172912044495,-1.9083504507310352,-0.5416271909687254,0.5899517563996994,-2.1295184878383537,1.1580632115080505,3.3969104282470965,-0.45543856504149005,-3.2324166646529306,0.7149517563996994,-2.4223289453546926,-0.572328945354684,5.205809582783843,-2.359125482151228,-4.716268339294089,-2.5863982094239475,-1.8889956120213611,-3.655662278688027,-4.888995612021361,7.497211284530366,-6.324709897735644,6.318147245121509,0.7453793879786446,-1.8796206120213554,-1.3175670405927775,0.889575816550078,2.555780507381627,0.3766760297696834,1.0681472451215086,-1.1461384691642138,1.9352468122210666,-1.4283895514152931,6.002529811707461,3.0533772693345753,-1.099165103546781,2.0364281167922087,
Travis Perkins,-3.9811982533798584,-9.637686802998175,-1.7527437783273,-3.1440481261533932,-3.9951119559406294,2.0261646398040654,-5.451065670013037,-0.773434091065667,2.036132054026794,2.157753675648408,-3.322542749809301,-3.761252427228655,-2.8864723685776283,-2.0228360049412686,3.022618540513278,3.0159518738466176,-1.3392235647498865,-0.9379077752762015,-0.020427817102614654,1.9795721828973853,-0.2890697711750363,-2.295563277668535,7.493633033266903,2.276241728919075,-1.9806072659383318,3.200037895351983,4.136997625480603,10.659873442474066,-6.354004836110093,-0.32803081013607027,2.81049732839206,3.9014064193011535,3.6508236687184024,2.958515976410709,-2.225768556260917,-0.8967362981964015,0.46998696156590825,2.601565908934333,4.88209566469628,0.16967736404268408,-2.59147541921827,0.5561755874931436,-3.220802512118297,-2.273434091065667,-0.41071479282005896,1.4392852071799496,3.672945337898895,-4.078688649029203,4.295345813240544,1.4252159431106861,1.1226185405132725,-2.491174562935001,-4.313095745201011,-3.670238602343858,-2.243006459486722,0.13199354051327816,2.694047111941856,3.9011899690847116,
Mario Tiziani,-6.608201965467899,-5.264690515086215,0.6202525095846596,-1.7710518382414335,1.540351670530498,-0.09780622420633733,0.3778843319713303,1.399160927716025,-0.462108748810536,4.123257104848008,0.3635635463739533,1.4020250848355005,4.0504535381026585,-4.388256139316695,1.0337727231620732,-2.564911487364242,1.8408203078772942,0.6353408558224913,0.35256847080934506,4.352568470809345,1.0839265167369234,-0.9225669897565751,-2.1333706788211373,5.649238016831035,-0.49000608660743694,3.0328697303860253,-4.981008548198133,1.0449654777758894,0.18349361630401972,0.2744027072131132,1.023819956630362,0.33151226432266867,-1.157016750522132,1.9745621968462927,-1.7449080473917604,-2.457326348045356,-0.14916129097774444,-2.1939374103807268,2.1521937757936627,3.0995621968462927,-1.9540583741891453,-4.705692361117244,0.27894816175857784,0.8622814950919064,4.590420023230436,0.025484958295365345,-3.331657898847496,-7.201787768977354,-5.504385171574768,2.7289481617585665,-0.5043851715747678,2.881821724976959,2.059900542710949,-0.2972423144318981,0.0670433998538158,4.274186256996671,-0.8282657685896879,-2.5148329327687975,4.218195473586533,0.29884063487685353,
David Hearn,-5.325805492055068,-2.9822940416733843,-2.0973510170025094,-1.4886553648286025,7.822748143943329,4.184590249206494,0.6602808053841613,3.681557401128856,1.820287724602295,0.40565357826083925,1.037386301838069,-0.7126136981619311,3.6459600197867843,-1.3155784417516685,-2.795672908688246,-1.1180413297408762,2.6915248153515847,2.8131464369731987,-6.6671499884845105,-3.105859665903864,-1.2310796072528376,-3.367443243616478,-1.321988698161931,-2.3286553648285917,5.228011301838066,7.978011301838066,-1.6838308034250957,-2.2825150139514108,-1.8767832187098747,0.9177373292353224,-1.365035055777824,-3.365035055777824,2.9040386990983365,1.9314359593723225,-3.325214504613541,-2.1445693433232265,5.03716623141554,7.544208484936661,0.7923903868053941,0.3152662037988563,1.306216430043193,1.6139087377354997,-3.570375794936126,-2.241343536871611,-0.5882224643956988,-2.3934172695905005,3.125379722890699,2.256958670259124,-2.4625115739789294,-5.174929874632525,-3.8667648175649134,2.0884590630321043,-1.5654097507935063,-0.6180413297408762,0.24467796850473178,3.0946779685047403,1.3283380992236857,-1.4232958877044126,1.7780113018380632,1.16421819838979,-1.6505601267333532,-2.4434172695904977,-0.7772125787589488,-0.9563170563708923,1.735154158980933,2.5208684446952105,-4.545869295176857,-1.2324364593559665,3.5005919469993643,-2.4187628917103154,0.6695367255668856,2.7203841831939997,3.5678418103126432,-4.296564969348367,
Scott Petersen,-2.6943643620665227,-7.350852911684839,-1.4659098870139644,-1.8572142348400575,4.216859839234019,0.17982280219698055,-0.07943645706227187,-0.07943645706227187,7.454189273931874,-1.1839686208049613,2.2917219353727063,0.31299853111740106,0.45172885459084,-0.9629052917506158,-0.33117256817338614,2.918827431826614,0.27740114977532926,-1.6841373117631235,-4.273880901506715,6.503896876271057,-4.164231778699701,-2.4866001997523313,2.3229659453401297,2.4445875669617436,-3.0357088584959655,0.5255814640846808,-0.052389673436550765,0.3489261160371342,-4.733593925789279,2.266406074210721,-0.4645201709131186,0.5628770893608674,1.306226625375004,-0.5131282133346815,0.42383151679393904,-1.0532926662125988,1.2594524318266167,0.9261190984932739,1.9328290552032428,-2.0411969188227346,0.09733121970539571,2.188240310614489,0.9376575600317381,-1.7546501322759553,1.8542285512295962,-0.23532368757636846,3.061065335052419,-2.609902406883066,-1.243179147120756,-3.1116001997523313,4.838864196532498,-1.57290050934985,1.1689295560096156,-3.5434887446439802,5.066031379195039,-0.9866001997523313,-3.0402207707877693,-0.7918547577158677,0.19278576515995383,-4.223880901506718,-3.495742373368188,-3.0606774383032587,1.2848622678921942,0.20289505477742864,0.5821797045538801,0.7120498344240218,2.409452431826608,0.7956593283783349,-1.026261853887675,-0.3834047110305221,-4.956172568173386,-0.5811725681733861,-0.019118996744808214,0.1880238603980473,-0.14577144877040382,3.6751240736176527,-1.633404711030522,-0.8476904253162445,4.233694856069036,1.8700584924326762,1.085571834811688,4.3990046706325785,
Kyle Thompson,-0.6441185408351515,-6.300607090453468,-4.415664065782593,-1.8069684136086863,4.3419677566040775,5.363244352348772,1.88601404253167,-1.43635437852096,3.373211766571501,-1.5051666118068852,-1.9854630372645943,-6.424172714683948,7.450607343967079,-2.6857562923965617,2.359698253057985,-3.6469684136086755,-1.0903017469420178,5.659698253057982,-1.0021438522051795,-1.6008280627314946,3.8049037325100414,1.5994242804552385,-6.683348104557908,1.3166518954420923,-0.41427434968174737,-1.3868770894077613,0.04800994136967063,0.04151643487617207,4.83071274581161,-1.386678558536218,1.3564724466063751,-0.4628823921033103,-2.5259226619746897,-1.0030468449812275,-3.690301746942012,0.9763649197246451,-2.016925123565386,-1.9909510975913634,-2.852422959063233,-1.7615138681541396,-5.012096618736891,0.2955956889554159,1.9044743724609674,-0.18507786634499723,-4.88868884371621,2.4403434143483054,-0.9065355131757826,3.2882696816294157,2.807066674110615,0.93864562147904,0.2191753772409868,-3.493242923412609,4.11627720042641,7.06364562147904,0.010025050443601913,-3.7416089364844964,-3.756968413608675,-1.1736350802753464,-0.4454965521368166,1.9895683829281126,-3.3675744742147486,1.762295655655393,-0.5403017469420206,9.845905149609706,-0.968873175513437,-5.7617303183705815,1.9044743724609674,-2.274630105150976,1.4168411102008491,-1.7974446040848733,0.2839406773004072,6.920304313664047,-5.864182343956941,-0.5507495081360503,2.1822788982192804,-2.7370759404903993,-0.6487763232131982,1.4020711344139158,6.249528761532559,7.385121981871549,
Jim Rutledge,-2.6579830925176964,-0.314471642136013,0.570471382534862,-5.820832965291231,1.4905705434807004,-2.147587351256135,1.1172622728040125,-6.497023441481701,-3.6718967950784673,0.3493798006662274,-0.18541629862455977,0.5958337013754402,1.4881101241396664,0.07347597779821058,-0.29479129862455977,-1.0447912986245598,-0.6862175806758444,-0.6477560422142972,2.7625003680421116,-3.459721854180117,-0.1278505091508748,0.5497810697964951,3.359347214888956,4.48096883651057,-1.9993275889471391,-2.438037266366493,0.4367427922845337,0.3003791559208935,0.9839915961122756,-0.6146926144140394,-2.2089608191725034,-4.414440271227306,5.302787343759547,-0.6972126562404526,1.0341453896871258,-1.9723481168063728,0.8168481941290651,-2.400543110218763,0.34260789492383026,1.5232530562141449,0.7049886309529114,1.2120308844740322,1.9692103247520691,-2.004815649273908,2.133712489254222,-2.7753784198366844,4.974038829580564,0.281731137272871,0.09744660460124521,-0.5735211373342395,2.0795999351416725,2.274405129946871,-0.2067978775719297,1.924781069796495,0.10241264874386502,0.0497810697964951,2.912500368042103,-6.237499631957888,-2.003839501238943,4.244526511832959,-0.3814390258972935,3.748431103972848,1.4458337013754345,1.8320405979271612,-2.982737727195982,1.2244051299468737,0.8906098207784225,0.7115053431664791,0.4029765585183043,2.188690844232582,-1.7299238743821377,-0.09356023801849744,-1.8780468956394856,1.4353859401814049,-0.8315856534632644,-2.750940492172944,2.337359125104257,4.388206582731371,-1.7643357901499854,-2.6287425698109956,
