Scott Dunlap,-9.343146417968413,-6.953833440869175,-0.17828554626193238,-4.2266726430361246,-2.10394078819742,2.34918421180258,1.8298316791228473,3.3723153392535608,-5.801001539945673,-4.15065188959602,3.6146811380320827,2.303205728196019,5.2042678385631405,5.401450937154692,0.46364993760903417,2.437843485996126,-2.8058322355658447,4.04285197496047,5.0830047763187025,-3.9234468365845174,-3.0590572097660527,0.37231533925356075,1.8598376208934866,-2.367435106379233,-1.2578625597205928,0.642799691935025,5.481515942571818,0.17382363487949704,6.86904736539735,-0.41199838623663254,-3.0067696280667064,0.7448643588614061,-3.456945595889721,0.5892082502641216,0.8380706554645485,1.683141077999764,0.6104689340248086,-1.4659199548640913,2.4247726858285574,-4.042759781703907,-1.4687163754457373,-3.0190519459155354,-3.696794271803981,0.7294352363927459,1.2494480105038832,-0.029772768716895825,-2.4092532881974194,-2.242586621530748,1.5276697887256603,-4.54925328819742,2.7039934650493365,4.944253205309067,1.9767207377766027,2.9247726858285574,1.7818725396171544,1.1858460495509178,4.741526853646548,1.0819523855614506,-1.9960617988357114,0.9259240167671123,-3.056715974764586,-1.2507458255108475,0.2663495486820153,-3.478331302381818,-4.887714826658964,-1.3184840574281935,3.2783329186991352,5.985229470423263,-0.3595981157836263,-1.376839495093975,
Jeff Klauk,-8.696721662923167,-0.3074086858239298,0.46813920878331317,-4.580247887990879,-0.4575160331521744,0.9956089668478256,1.5487843700736335,-2.757667242829598,-6.154576784900428,4.495772865449226,4.261105893077328,1.9496304832412648,-0.149307406391614,-2.9521243078000623,0.3266796635691378,3.1299583520937233,3.1100746926542797,-1.9157317589586285,-0.7123523426759846,1.3987587684351297,0.2262037249123381,-1.4512156299263665,-1.54171742204106,-0.1250507553744029,-1.1594074805205992,3.689276730005716,0.21481852567136173,-0.3292991213874643,-7.412632454720807,0.018740094298806298,2.506262375938732,-0.7210103513339874,0.38856219532465275,1.2892244469802705,1.1279406976170634,2.8202483899247426,2.5154721204425954,3.234426368808613,0.48449541050979406,4.3295658330450095,3.7660456390332513,-0.2670669437482047,2.256893689070054,3.1805048001811542,-1.928802559126197,-2.3963350266586616,1.2876476573240154,-1.632987263310909,-3.8222916204004918,2.62737280912971,2.9496304832412648,-0.6241400085620086,0.8958727655491288,-0.3833480136716503,-3.762828533152174,-1.5961618664855024,0.17409454377090583,-0.9028285331521744,1.350418220094582,-2.409322039645687,-2.236161866485503,-2.6488602791839213,1.6231454928218483,-1.428802559126197,0.8664022360785992,0.789479159155519,1.3879516086917931,-1.2716228593933039,0.6412891139066517,2.9059949962595937,2.650362956209534,1.5723487718123579,0.9127743037272609,-1.8319065473365725,-0.24129007161371874,0.327940697617052,-4.075242326255619,0.6316542254685089,1.2868266392616192,-3.7304147400487295,
Arjun Atwal,-3.0688586033122363,-7.679545626212999,-3.903997731605756,0.04761517162005191,0.4732862747105031,4.123635925060157,0.4785556532193169,8.675738751810869,1.854066784523269,0.17664742968456437,-2.913854362430129,-3.497187695763472,2.4684555790903318,-0.6828602103833532,-1.1573184147177074,0.2985639382234666,0.2152306048901238,0.6466031539097372,0.13412543554966305,-0.09314729172305647,-1.9835747450644163,0.9170875065912014,-0.2441962427720057,2.4481114495356735,-4.73248181341053,1.0191521735175826,-0.18265778123354437,1.863496064920298,0.11235847012072497,1.9574288926559404,6.333730178632663,-1.8401828648455876,-2.606091301355818,-0.6392038841372738,1.3519001981005516,2.1130942279512936,3.884756748680985,-2.191632140207915,-0.19442856078956083,1.255235868740641,-2.4762641748399403,-3.7554849540607194,1.8942652956895216,5.6327268341510575,-0.1349654735412429,0.03170119312542852,-1.021718720294487,-0.7814589800347562,5.391701193125428,-1.0209972195729904,-3.748991447567221,-1.800939499515266,3.49426529568953,-1.58265778123355,1.0561603542733309,-0.5398661357929058,-2.3218404735412435,1.248844050268275,1.015814668302724,-1.643759799782373,4.269152173517583,1.5338580558705246,-1.721773984179535,-7.799788168576711,-3.7824281601084095,1.023541989145329,-0.4593626366618082,-1.2040434877256416,-1.6134270120027878,1.955803757227983,1.5526207333553117,2.25951728507944,2.91468969887255,-3.1025516804377986,
Chris Smith,-6.231976942839282,-3.8426639657400443,-4.067116071132801,-0.11550316790699355,2.007228686931711,-0.5396463130682889,-1.6898320648165424,2.960517585533111,0.5748194127381652,-0.450987038874743,-1.2476076225920991,-0.13649651148098485,3.6909484449962235,-1.986470909842481,-1.0769727019571746,-2.6603060352905175,4.305337239563286,4.154021450089601,-2.8058257485521665,-0.8122773614553864,-3.6184116819207475,-3.044641190117474,1.0521122653630783,-0.5165151856173082,1.9710070960226176,0.7437343687498981,-0.1466930845914618,-2.246030832935844,-1.4073145822990512,4.284993110008628,-3.8956001529375754,-2.143966166009463,1.6542238792394102,-1.2996222746067474,2.9492401305936795,-0.20568944687110502,-0.2783615908460604,-0.3547504797349603,0.1463317713472918,3.5359421609576884,-0.46405783904231157,1.0684096934252238,-3.639382514366986,0.08139670641223518,-2.268853043837524,1.469608494624012,-3.2980838130682884,0.868582853598383,1.6388392638547913,-2.438083813068289,3.8151629401784675,2.0554226804381983,1.0878902129057337,-0.9640578390423116,3.8930420147462854,-1.7029844753199512,0.8526963287756786,-1.8068781393094184,-0.8939661660094629,2.370739716343479,0.11510767629341956,1.0370934918962433,4.054453500364545,0.8604236496182835,0.3775190238111463,-1.367161827252687,-4.776545351529833,4.7926854177009375,4.389502393828266,2.0963989455523944,-3.2484286406544953,2.734329980035156,
Bill Lunde,-5.050031016005704,-3.6607180389064666,-0.8851701442992237,-2.933557241073416,-1.8108253862347112,0.6422996137652888,-1.8045249830089034,-3.1109765959121347,1.122947081085556,4.665430741216269,2.4921138620170353,1.1424635123666889,-3.502616759474151,0.6945663391174008,3.973370310486601,0.7766489990111864,-2.243234660428257,-2.2690411120411653,4.934338304241479,4.045449415352593,-1.1271056281701988,2.1954750169910966,4.104973224876403,-3.4783601084569398,-1.512716833603136,-0.664032623076821,4.861509172588825,0.31739152552999883,-1.765941807803344,-2.3345692587837306,0.15295302285619528,1.9256802955834758,3.035252842242116,-0.06408490610226636,0.16216276736005852,5.881117015726076,3.131186057427257,-3.0237435200375273,-1.6474422340608044,2.1786447224609446,3.4127362859507144,5.379623703169258,-5.096415664012483,-0.17280455290138264,-3.6717223018191305,0.7178880877912661,-1.2821119122087339,-4.7496443797411985,-1.0656616957585214,1.013703383606554,0.5425634124665919,-3.736657366754187,-4.086907117003946,-4.34844557854241,-1.1161378862347107,-0.9494712195680393,1.820785190688369,5.743862113765289,-1.0028911329879548,-3.762631392728224,4.41052878043196,3.997830367733542,-3.7301638602606886,-4.782111912208734,-0.48690711700393763,2.436169806072982,1.074987941579863,-2.5210385484863735,-0.30301288623471123,1.2676716375748072,1.0346422556092563,-0.6249322124758407,3.287979760824115,-0.4473143568229432,-0.7029463968730028,-5.780960581270179,-1.7636005728018773,3.0423695764518612,-0.440535049355276,-0.1852159004191094,1.4054005753037444,5.974631344534515,-2.428551679338156,2.278344872385972,0.9335172861790824,-0.08372409313126639,
Grant Waite,-2.266604157831253,-1.8772911807320156,-7.101743286124773,-5.150130382898965,0.9726014719397398,-3.57427352806026,2.9789018751655476,1.6724502622623163,-0.09362606073999302,-2.5511424006092795,2.3467334163841826,-0.9449332502824888,1.2755407201914863,-0.07410962945886013,0.5401921977461939,3.5143857461332857,3.6563212300042522,5.978901875165548,-0.729289975428685,-3.88060576490237,0.6449360307632759,3.10081838370445,3.017485050371107,2.4488575993907205,0.8186797004165669,3.7193419520721847,3.0697726320704533,-0.17859338100143418,-2.085387084398292,-0.24031666186307632,1.1359846241136466,1.9620715806353957,-2.3129888058380317,-2.3893776947269316,0.1117045563553205,-1.4986850540342829,-1.3921741153085776,1.0574903142216243,-4.674009729358957,-2.953230508579736,1.6965197411705049,-2.5650187203679593,-2.3327110280602597,-4.166044361393588,-1.39578795113718,1.5272889719397398,4.780535725186496,3.020795465446227,-2.9467370020862376,2.001314945965717,-1.1819308862162927,-0.8415053543013897,2.071406618998566,3.336112501351508,0.342891808819175,-1.4017890422446584,
Jarrod Lyle,0.8882088175865306,-8.722478205314232,-2.946930310706989,-0.9953174074811812,-4.872585552642477,-3.4194605526424766,-3.866285149416669,-7.1727367623199,0.06118691467779058,-0.39632942519149594,-3.4984536081980337,-1.7901202748647052,3.4356230741180838,0.6328061727096355,-1.3049948268360225,-0.3308012784489307,-2.127421862166287,-0.016310751055172545,3.811134205422036,0.1337148505833312,5.425522999989099,4.274207210515414,3.1722980257888906,4.603670574808504,0.9734926758343505,4.874154927489968,-4.775414392511763,-2.0237804055836506,-1.2255903603347775,-0.1794365141809351,5.069425891019492,-0.08550368644529271,-3.649023880457051,2.317863536761493,-0.6910323810006815,4.0701616488500605,1.841824169579752,-1.234564719309148,-1.733482468226896,3.6561279213835007,0.6561279213835007,-1.8114045461489638,-0.12742186216628681,3.9519432171987887,-3.5191967539411735,-3.7984175331619525,-5.1486672834117115,-2.4102057449501757,-0.17789805264247605,-1.0112313859758046,-2.0646512993957202,-1.8243915591359894,5.348768614024195,-3.0639297986742235,-0.791924026668454,-1.8438720786164993,5.451332716588297,6.374409639665217,-0.9867722248279023,-1.582798714894139,0.6352269473575234,1.2059114711670418,-1.0271179107985091,0.3133076211163939,3.2262195944163494,0.49092547676929144,-1.7647065632807681,8.157279252322056,-0.5022952157630414,0.7530239331731252,0.343640408895979,1.9128711781267498,-0.49031184574592146,2.2165847059782067,2.871757119771317,-2.1454842595390318,
Greg Chalmers,-0.366827126470767,-4.97751414937153,1.7980337452357134,-4.250353351538479,-4.127621496699774,-6.674496496699774,0.8786789065260336,2.5722272936228023,5.806150970620493,-2.6513653692487935,0.24651044774466868,2.9548437810779973,-0.8246822484480276,-3.174332598098374,1.5910004295297284,-2.720474980306335,1.1805871300607862,3.377770228652338,2.43996922910668,-2.5858372225062283,1.6175421937764156,-0.2713466951124701,-1.4439017386352617,-1.1213210934739664,-0.21182288558865991,-0.7951562189220027,3.170487055931801,4.019171266458116,1.917262081731593,0.3486346307512065,-5.163843087608868,0.6088841851184128,-0.28154326822294706,0.6191189834326707,1.4578352340694636,2.1501429263771428,-2.0304503365690607,-0.27881634964094815,5.519373695607925,-2.4344724582382327,-1.1856100530378058,-2.3405396305025903,2.0357616554741327,1.8618486119958817,-1.4132117744775456,1.5103993366335544,0.01148158771580654,2.401091977326203,0.40109197732620316,-3.0664404902062614,0.6175421937764156,-0.30309272685850885,-4.774232697998471,-3.05345347721925,4.596296772530991,-2.6652416890074733,-6.432933996699774,-1.2662673300331022,-0.496010919776694,1.4270660033002258,-0.04695997072575153,-0.09890802267379684,2.1962967725309994,-1.8806263043920808,3.7581918311148,1.1621653410485635,-0.2821538548558067,2.0582716770590963,0.9711836503590519,-2.764110467288006,1.242668840179661,3.4979879891158276,0.25465221019678097,3.961548761920909,1.6167211757140194,-1.4005202035963293,
Scott Parel,-2.973203851350661,-0.5838908742514235,-4.808342979644181,-5.856730076418373,1.266001778420332,2.719126778420332,1.199774245740599,-3.2577420941286874,2.6401337228647748,1.3484670561981034,1.5689410266720785,-6.780709322978268,-3.0153762953501655,3.673148294813771,-3.166407495773214,0.8077860526138778,-1.9888345311034783,3.122276580007636,1.9497215364848444,3.2723021816461397,-0.4358896689480929,-4.587205458421778,-2.061663662756132,-0.605781309814958,-0.5470526570635457,-1.5535042699667656,-3.689114643148301,1.7422579058713126,5.229780187511238,3.002507460238519,5.112080006897159,1.0127422585527768,0.23898993201510166,-2.0420558196188807,-1.8078821501511015,-0.022167864436809737,-1.6368270614489546,-0.8851930745208421,-4.087003029271969,2.9591508168818734,-3.7919867779176997,3.053083644617516,-3.5706150694057612,7.255471887115988,0.48956345060575757,3.4564508678243016,0.9804115006425604,-0.0959773882463395,-0.20528474755369075,-2.6728172150861553,4.011165468896522,-0.9094694517384028,-4.380609422878365,-3.659830202099144,-1.010079952348903,-3.271618413887367,-1.0393107215796675,-2.872644054912996,3.897612355343412,-5.179310721579668,0.07393603166708829,1.3141957719268191,-1.6533366956056454,7.294715252446309,1.1518151062349062,-3.4442113838313304,1.773814278420332,3.3444988022298503,-0.8885305797357006,1.4518949521792024,0.36480692547915794,5.6295128078321,1.3738807677820404,-0.7041334166151358,-1.6867734081468342,6.119196741106904,4.636292115299767,-3.1083887357640663,
Craig Bowden,-2.117118266314165,-3.7278052892149276,-4.952257394607685,-4.000644491381877,-2.5749733882914256,3.075376262058228,-0.5697040097826118,3.62747908880894,5.689678089263282,5.663871637650374,-0.579804083911597,-0.731119873385282,2.794421922280364,-0.7496957247784621,0.16697094188819506,-4.4016565090921915,-2.9141342274522657,-2.141406954724985,3.968165591933655,-0.13117215641072733,-0.9049244829484024,-2.185970234582385,4.048203434885394,1.8339177205996862,1.2192585235875413,2.970892510515654,-1.9359011928812038,-3.0908307703459883,1.2854705156307347,1.1115574721524837,1.3456490356422535,0.31253645286079745,-1.1635029143209437,4.760108196790156,0.6508008374828052,2.1832683699503406,-6.524523837841869,0.1962553829373519,-5.153994367312407,-3.4155328288508713,-4.183225136543172,-2.0165584698765002,-0.246302059620092,-5.323225136543172,2.930021616703584,1.170281356963315,-2.7972511105691495,-4.849199162517195,2.4460056326876014,0.3690825557645212,2.007900691271402,2.4118742012051655,3.9675550053007953,8.307980537215698,-0.7700336471814637,4.15195216842136,1.492377700336263,-4.25230315072757,1.3383133249952834,0.9075440942260542,
