Stuart Appleby,*Mercedes Championships,1,68.4,68.2,69.5,71.13333333333334,1060000
Vijay Singh,*Mercedes Championships,2,70.4,65.2,72.5,70.13333333333334,600000
Darren Clarke,*Mercedes Championships,3,69.4,70.2,72.5,70.13333333333334,400000
Tiger Woods,*Mercedes Championships,4,73.4,71.2,68.5,71.13333333333334,275000
Retief Goosen,*Mercedes Championships,4,72.4,71.2,67.5,73.13333333333334,275000
Kirk Triplett,*Mercedes Championships,6,70.4,70.2,74.5,70.13333333333334,204000
Adam Scott,*Mercedes Championships,7,71.4,75.2,71.5,68.13333333333334,180000
Scott Hoch,*Mercedes Championships,8,70.4,72.2,72.5,72.13333333333334,170000
Ben Crane,*Mercedes Championships,9,73.4,75.2,69.5,70.13333333333334,155000
Davis Love III,*Mercedes Championships,9,71.4,72.2,72.5,72.13333333333334,155000
Jim Furyk,*Mercedes Championships,11,72.4,72.2,71.5,74.13333333333334,140000
Jonathan Kaye,*Mercedes Championships,12,76.4,71.2,69.5,74.13333333333334,130000
Justin Leonard,*Mercedes Championships,13,70.4,74.2,74.5,73.13333333333334,115000
Shaun Micheel,*Mercedes Championships,13,72.4,72.2,72.5,75.13333333333334,115000
Tommy Armour III,*Mercedes Championships,15,75.4,72.2,76.5,70.13333333333334,89167
Steve Flesch,*Mercedes Championships,15,75.4,73.2,75.5,70.13333333333334,89167
Peter Jacobsen,*Mercedes Championships,15,72.4,72.2,76.5,73.13333333333334,89167
Shigeki Maruyama,*Mercedes Championships,15,71.4,73.2,75.5,74.13333333333334,89167
Chad Campbell,*Mercedes Championships,15,73.4,77.2,68.5,75.13333333333334,89167
Kenny Perry,*Mercedes Championships,15,75.4,72.2,71.5,75.13333333333334,89167
Ernie Els,*Mercedes Championships,21,75.4,71.2,76.5,72.13333333333334,79000
Fred Couples,*Mercedes Championships,21,71.4,73.2,75.5,75.13333333333334,79000
J.L. Lewis,*Mercedes Championships,21,72.4,72.2,72.5,78.13333333333334,79000
